id,Random Forest Classification,Classification Tree,AdaBoost,kNN,Classification Tree,Ibra,Rattle Tree,Forrest,Gini Classification Tree,Random Forest Classification,kNN,Classification Tree
8968,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
45656,functional,non functional,non functional,non functional,non functional,functional,functional,functional,functional,functional,functional,non functional
39630,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
2786,non functional,functional,functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional
958,functional needs repair,functional,functional needs repair,functional,functional needs repair,functional,functional,non functional,functional,functional,functional,functional needs repair
55843,non functional,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,functional,non functional,non functional
52074,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
23422,non functional,non functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,functional,non functional
55802,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
61634,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
1625,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
37398,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional
51011,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional,non functional,functional
49595,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
22486,non functional,non functional,functional,functional,functional,non functional,functional,non functional,non functional,functional,functional,functional
22916,functional needs repair,functional needs repair,functional,functional,functional,functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair,functional,functional
45204,functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
74223,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
35533,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
30595,functional,functional,functional needs repair,functional,functional needs repair,functional,functional,functional needs repair,non functional,functional,non functional,functional needs repair
47319,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional
32555,functional,functional,functional,non functional,functional,non functional,functional,functional,functional,functional,functional,functional
9520,non functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional,functional
53253,functional,non functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,non functional,non functional
36436,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
15036,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
23175,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
41998,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
19345,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
1198,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,functional needs repair,non functional,non functional,non functional
39848,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
39278,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
39844,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
17332,non functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
51287,functional,non functional,non functional,non functional,non functional,functional,functional,functional,non functional,functional,functional,non functional
49514,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
64288,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
41782,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
54572,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
68079,functional,functional,non functional,non functional,non functional,functional,functional,functional,functional,functional,non functional,non functional
68017,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
66705,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional,non functional,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
5274,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
58230,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
51010,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
46242,functional,functional,non functional,functional,non functional,functional,non functional,functional,functional,functional,functional,non functional
1917,functional,functional,non functional,non functional,non functional,functional,non functional,functional,functional,functional,non functional,non functional
9361,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
33043,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
56633,functional needs repair,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
57518,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
51128,functional,non functional,non functional,functional needs repair,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional
4388,functional,functional needs repair,functional needs repair,non functional,functional needs repair,functional,non functional,functional needs repair,functional needs repair,functional,non functional,functional needs repair
62267,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
72473,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional
70957,functional,functional,functional,non functional,functional,functional needs repair,functional,functional,functional,functional,non functional,functional
35399,functional,functional,non functional,functional,non functional,functional,functional,functional,functional,functional,functional needs repair,non functional
33236,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
73183,functional,functional,functional,functional,functional,functional,non functional,non functional,non functional,non functional,functional,functional
52939,functional,functional,functional needs repair,functional,functional needs repair,functional,functional,functional,functional,functional,functional,functional needs repair
66929,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
54326,non functional,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional needs repair,functional needs repair,functional,functional,functional,functional needs repair
16343,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
33013,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
60384,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
41074,functional,functional,non functional,functional,non functional,functional,functional,non functional,functional,functional,functional,non functional
71997,non functional,functional,non functional,functional,non functional,functional,non functional,non functional,functional,non functional,non functional,non functional
35190,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
3425,functional,non functional,functional,non functional,functional,functional,functional,functional needs repair,functional,functional,non functional,functional
4335,functional,functional,functional needs repair,functional,functional needs repair,functional,functional,non functional,functional,functional needs repair,functional,functional needs repair
7399,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
46431,functional,non functional,non functional,functional,non functional,functional,functional,non functional,non functional,non functional,functional,non functional
40845,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional
27347,functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional,non functional,functional,non functional
10981,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
36447,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
67485,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
11220,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,non functional,functional
45857,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
21806,functional,non functional,non functional,functional,non functional,non functional,functional,functional,functional,non functional,functional,non functional
8771,functional,functional,functional,non functional,functional,functional,functional,functional,functional needs repair,functional,functional,functional
45535,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
8671,functional,functional,functional needs repair,functional,functional needs repair,functional,functional,functional,functional,functional,non functional,functional needs repair
2252,non functional,functional,functional,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional,functional
58078,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
61068,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional,non functional,functional
69204,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional,functional needs repair,non functional,non functional,functional,functional needs repair
28326,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
46930,functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
52104,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
31732,functional,non functional,non functional,functional,non functional,functional,functional,non functional,non functional,functional,non functional,non functional
21584,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional,functional,non functional,functional,non functional
17045,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
14404,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
34699,functional,functional,functional,functional,functional,functional,non functional,non functional,functional,functional,functional,functional
39930,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
38744,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
4339,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
54735,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
51916,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
58114,non functional,non functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,functional,non functional
28339,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional needs repair,functional,non functional,functional needs repair,functional needs repair,functional,functional needs repair
52048,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
66497,functional,functional,functional,functional,functional,non functional,functional,functional needs repair,functional,non functional,functional,functional
18353,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
16701,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional
59499,non functional,non functional,non functional,non functional,non functional,functional,non functional,functional needs repair,functional,non functional,non functional,non functional
66042,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
43965,functional needs repair,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
48361,functional,functional,functional,non functional,functional,functional,functional,non functional,functional,functional,non functional,functional
70766,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
9510,functional,functional,functional,non functional,functional,non functional,functional,non functional,functional,functional,functional needs repair,functional
28586,non functional,functional,non functional,functional,non functional,functional,functional,functional,functional,non functional,non functional,non functional
28521,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
18050,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
73151,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional
45011,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
64380,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
66896,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional
40184,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
67207,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,functional,non functional,non functional
70178,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
54063,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
39252,non functional,non functional,non functional,functional,non functional,functional,functional,non functional,non functional,non functional,non functional,non functional
53773,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
47931,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional,functional needs repair,non functional
44168,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
66540,functional,non functional,non functional,non functional,non functional,functional,functional,functional,functional,functional,non functional,non functional
54089,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,non functional,non functional,non functional,functional needs repair,non functional,functional,functional needs repair
29244,functional,non functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,non functional,non functional
27525,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,functional,non functional
58991,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,functional,non functional,non functional,non functional
18087,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
67803,non functional,functional needs repair,functional needs repair,functional,functional needs repair,non functional,non functional,non functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair
48006,non functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional,functional
11788,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
16100,non functional,functional,non functional,non functional,non functional,functional,non functional,functional,functional,functional,non functional,non functional
16382,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
21208,non functional,non functional,functional,non functional,functional,functional,non functional,non functional,non functional,non functional,non functional,functional
8637,non functional,functional,functional,functional,functional,non functional,non functional,functional needs repair,functional,non functional,non functional,functional
67008,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
67914,functional needs repair,functional,functional needs repair,functional,functional needs repair,functional,functional,functional needs repair,functional,functional,functional,functional needs repair
7041,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
43181,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
26191,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional,non functional,functional,non functional
14766,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
49812,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
12705,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
25422,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
9399,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
4239,functional,functional,functional,non functional,functional,functional,non functional,non functional,functional,functional,non functional,functional
49442,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
32,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional
11443,functional needs repair,functional needs repair,functional needs repair,non functional,functional needs repair,functional,functional,functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair
15492,functional,functional,functional,non functional,functional,functional,functional,non functional,functional,functional,non functional,functional
63498,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
12708,non functional,functional,functional,functional,functional,non functional,non functional,non functional,non functional,non functional,functional,functional
19483,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
31204,non functional,non functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,functional,non functional
33445,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
40820,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
10279,functional,functional,functional,non functional,functional,non functional,functional,functional,functional,functional,functional,functional
46718,non functional,functional,functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional
39000,non functional,functional,functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional
45897,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
62154,non functional,functional,functional,functional,functional,functional,non functional,non functional,non functional,non functional,non functional,functional
50034,functional,functional,functional needs repair,functional,functional needs repair,functional,functional,functional,functional,functional,functional,functional needs repair
11853,non functional,non functional,non functional,functional,non functional,functional,functional,functional,non functional,non functional,non functional,non functional
40426,non functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional
41168,functional needs repair,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
58978,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
31363,functional,functional,functional needs repair,functional,functional needs repair,functional,functional,functional,functional,functional,functional,functional needs repair
32736,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional
29058,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
23824,functional,functional,non functional,functional,non functional,non functional,functional,functional,functional,non functional,non functional,non functional
61885,functional needs repair,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
59187,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
73243,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional,functional,functional
62915,non functional,non functional,non functional,functional,non functional,functional,non functional,non functional,functional,non functional,non functional,non functional
1784,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
65951,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional
20661,functional,functional,functional,functional,functional,functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair,functional,functional
55504,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional needs repair,non functional,functional needs repair,functional needs repair,non functional,functional needs repair,functional needs repair
66975,non functional,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional
72057,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
49331,functional,functional,non functional,functional,non functional,functional,non functional,non functional,functional,functional,non functional,non functional
52682,non functional,functional,functional,functional,functional,non functional,functional,non functional,functional,functional,non functional,functional
37859,non functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
10460,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
12407,non functional,non functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,non functional,non functional
69993,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
13012,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
70896,functional,functional,functional,non functional,functional,functional,functional,non functional,functional,functional,non functional,functional
13264,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,functional,non functional,non functional
51824,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
60216,functional,non functional,non functional,functional,non functional,functional,functional,non functional,non functional,non functional,non functional,non functional
57481,functional,non functional,non functional,functional,non functional,non functional,non functional,functional,functional,functional,functional,non functional
3996,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
24854,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
43420,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional,non functional,functional
70468,functional needs repair,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
38305,non functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,non functional,functional,non functional
57179,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
70388,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,functional needs repair,non functional
67589,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
69974,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional
8854,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional
71663,functional,functional,functional,non functional,functional,functional,functional,non functional,functional,functional,non functional,functional
69272,functional,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional,functional,functional,functional,functional,functional needs repair
49119,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
15638,non functional,non functional,non functional,non functional,non functional,functional,functional,non functional,non functional,functional,functional,non functional
9086,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
56422,functional,non functional,functional needs repair,functional,functional needs repair,functional,functional,functional needs repair,functional,functional,functional,functional needs repair
39106,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,non functional,functional
4515,functional,non functional,non functional,functional,non functional,functional needs repair,functional,functional,functional,functional,non functional,non functional
48594,functional,functional,functional,functional,functional,non functional,non functional,functional,functional,non functional,functional,functional
63779,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
60740,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional
61242,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
65001,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional
2601,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
52456,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
21873,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
25505,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional,functional,non functional
21890,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
52336,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
57756,functional,functional,non functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional
45465,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional,functional,functional
4989,functional,functional,non functional,functional,non functional,functional,non functional,non functional,functional,functional,non functional,non functional
51585,functional needs repair,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
50533,functional needs repair,functional,functional needs repair,functional,functional needs repair,functional,non functional,non functional,functional needs repair,functional needs repair,functional,functional needs repair
54866,functional,functional,non functional,non functional,non functional,functional,functional,non functional,non functional,non functional,functional,non functional
23793,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
50135,functional,non functional,non functional,non functional,non functional,functional,functional,functional,functional,functional,functional,non functional
26549,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
66920,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
35517,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
390,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
13645,non functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional,functional,functional,functional
39327,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional
58900,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional
2100,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
31521,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,functional,non functional
277,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
33937,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional,functional,functional
42545,functional,functional,functional needs repair,functional,functional needs repair,functional,non functional,functional,functional needs repair,functional,functional,functional needs repair
7614,non functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
46861,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
35278,functional,functional,functional,non functional,functional,non functional,functional,functional,functional,functional,non functional,functional
71773,functional,non functional,functional,functional,functional,functional,functional,non functional,functional needs repair,non functional,functional,functional
52392,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
47229,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
10716,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
13923,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
42206,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
965,non functional,functional,non functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional
66646,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,functional needs repair,non functional,non functional,non functional
17301,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional
21533,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
37797,non functional,non functional,non functional,functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
19241,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
15296,non functional,functional needs repair,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
41472,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
73859,non functional,functional,functional,functional,functional,non functional,non functional,functional,functional,functional,non functional,functional
20153,non functional,functional,functional,functional,functional,non functional,non functional,non functional,non functional,functional,non functional,functional
71684,functional needs repair,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
8321,functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional,functional,functional,non functional
68979,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
48850,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional,functional needs repair,functional,functional,functional,functional needs repair
64251,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
3583,functional,functional,functional,non functional,functional,functional,non functional,non functional,functional,functional,non functional,functional
33326,non functional,functional,functional,non functional,functional,functional,functional,non functional,functional,functional,non functional,functional
8500,functional,non functional,non functional,functional,non functional,non functional,functional,functional,functional,functional,non functional,non functional
67047,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
24896,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
39527,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
