id,Ibra,Rattle Tree,Forrest,kNN,Gini Classification Tree,Random Forest Classification,Random Forest Classification,kNN,Classification Tree
698,functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
21774,functional,functional,functional,non functional,functional,functional,functional,functional,functional
11529,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
38015,functional,functional,non functional,non functional,functional,functional,non functional,functional,functional
53402,functional,functional,functional,non functional,non functional,functional,functional,functional,functional
55762,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
4298,functional,functional,functional,non functional,non functional,functional,non functional,functional,non functional
31356,functional,functional,functional needs repair,functional,functional,functional,functional,functional,functional needs repair
20177,functional,functional,functional,functional,functional,functional,functional,functional,functional
51598,functional,functional,functional,functional,functional,functional,functional,functional,functional
64420,functional,functional,non functional,functional,functional,functional,non functional,functional,non functional
26881,functional,functional,functional,functional,non functional,non functional,non functional,functional,non functional
63444,non functional,functional,functional,functional,functional,functional,functional,functional,functional
38567,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
11257,non functional,non functional,non functional,functional,non functional,non functional,functional needs repair,functional,non functional
68124,functional,functional,non functional,functional,functional,functional,functional,functional,functional
14944,functional,functional,functional,functional,functional,functional,functional,functional,functional
50281,functional,functional,functional,functional,functional,functional,functional,functional,functional
48627,functional,functional,functional,functional,non functional,functional,functional,functional,functional
470,functional,non functional,non functional,non functional,functional needs repair,non functional,functional,functional,functional needs repair
15407,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional
45543,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional needs repair,non functional
56078,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,functional
31388,functional,functional,functional,functional,functional,functional,functional,functional,functional
7246,functional,functional,functional,functional,functional,functional,functional,functional,non functional
33908,functional needs repair,functional,functional needs repair,functional,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
13710,functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
16404,functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
24105,functional,functional,functional,non functional,functional needs repair,non functional,functional,functional,functional
19610,functional,functional,functional,functional,functional needs repair,non functional,non functional,functional,non functional
4411,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
6982,non functional,non functional,functional,functional,non functional,non functional,non functional,functional,non functional
20296,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
24643,non functional,non functional,non functional,functional,functional needs repair,non functional,non functional,functional,functional
38334,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
48315,functional,non functional,functional,functional,non functional,functional,functional,functional,non functional
50851,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
41147,functional,functional needs repair,functional needs repair,functional,functional,functional,functional,functional,functional needs repair
1514,functional,functional,functional,functional,functional,functional,functional,functional,functional
29844,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
25169,functional,functional,functional,functional,functional,functional,functional,functional,functional
72723,functional,functional,functional,functional,functional,functional,functional,functional,functional
10136,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
59605,non functional,functional,functional,non functional,functional,functional,non functional,functional needs repair,non functional
56356,functional,functional,non functional,non functional,functional,non functional,functional,functional needs repair,functional
53971,functional,functional,functional,non functional,non functional,functional,functional needs repair,functional needs repair,functional
68077,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional
27737,functional,functional,functional,functional,non functional,functional,functional,functional,functional
37311,non functional,functional,functional,non functional,functional,functional,functional,functional,functional
44229,functional,functional,functional,functional,functional,functional,non functional,functional,non functional
69141,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
41340,functional,functional,functional,functional,non functional,non functional,functional,functional,non functional
12100,non functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
61502,functional,functional,functional,functional,functional,functional,functional,functional,functional
21189,functional,functional,functional,functional,functional,functional,functional,functional,functional
14063,functional,functional,functional,functional,functional,functional,functional,functional,functional
55070,functional,functional,functional,non functional,functional,functional,functional,functional,functional
49559,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
33842,functional,non functional,non functional,non functional,functional,functional,functional,non functional,functional
4130,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
7818,functional,non functional,functional needs repair,functional,functional needs repair,non functional,functional,non functional,functional needs repair
72361,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional needs repair,functional needs repair
64742,functional,functional,functional,functional,non functional,non functional,functional,functional,non functional
61231,non functional,non functional,functional,functional,functional,non functional,functional,functional,functional
53261,non functional,functional needs repair,non functional,non functional,functional needs repair,non functional,non functional,functional,functional needs repair
58156,functional,functional,functional,functional,non functional,functional,non functional,functional,non functional
42102,functional,functional,functional,non functional,functional,functional,functional needs repair,functional,functional
31210,functional,functional,functional,functional,functional,functional,functional,functional,functional
69881,functional,functional,functional,non functional,functional,functional,functional,functional,functional
71904,functional,functional,non functional,functional,non functional,non functional,non functional,functional needs repair,non functional
1215,functional,functional,functional,functional,functional,functional,functional,functional,functional
58848,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
6857,functional,functional,functional,functional,functional,functional,functional,functional,functional
65644,non functional,functional needs repair,non functional,non functional,non functional,non functional,non functional,functional,functional needs repair
14807,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional
73199,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
60173,functional,non functional,non functional,functional,non functional,non functional,functional needs repair,functional,non functional
53803,functional,functional,functional,functional,functional,functional,functional,functional,functional
38979,non functional,non functional,non functional,functional,functional,functional,functional,functional,functional
23825,functional,functional,functional,non functional,functional,functional,functional,non functional,non functional
40376,functional,functional,functional,functional,non functional,functional,functional,non functional,functional
6132,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
8903,functional,functional,functional,functional,functional,functional,functional,functional,functional
5779,functional,non functional,non functional,functional,non functional,non functional,functional,non functional,non functional
60441,non functional,non functional,non functional,functional,non functional,functional,non functional,functional,non functional
46075,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
30392,functional,functional,functional,functional,non functional,non functional,non functional,functional,non functional
41801,functional,functional,functional,functional,functional,functional,functional,functional,functional
47412,non functional,non functional,non functional,functional,functional,non functional,non functional,non functional,functional needs repair
29654,functional,functional,functional,functional,functional,functional,functional,functional,functional
32394,functional,functional,functional,functional,non functional,functional,functional,functional,functional
56666,functional,functional,functional,functional,non functional,non functional,functional,functional,non functional
69076,functional,functional,functional,non functional,functional,functional,functional,functional,functional
35188,functional,functional,functional needs repair,functional,functional,functional,functional,functional,functional
34273,functional,functional,functional,functional,functional,functional,functional,functional,functional
13381,functional,functional,functional,functional,functional,functional,functional,functional,functional
36639,functional,non functional,functional,non functional,functional,non functional,non functional,functional,functional needs repair
37876,functional,functional,non functional,functional,functional,functional,functional,functional,functional needs repair
34566,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
62432,functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
60288,functional,functional,functional,non functional,functional,functional,functional,non functional,non functional
16011,functional,functional,functional,functional,functional,functional,functional,functional,functional
35758,functional,functional,functional,functional,functional,functional,non functional,functional,non functional
46456,functional,functional,functional,functional,functional,functional,functional,non functional,functional
19936,functional,functional,functional,functional,functional,functional,functional,functional,functional
54818,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
61822,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional
37824,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
71017,functional,functional,functional,functional,functional,functional,non functional,functional,functional
30698,functional,functional,functional,non functional,non functional,functional,functional,functional,functional
66683,functional,functional,functional,functional,functional,functional,non functional,non functional,functional
43384,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
22428,non functional,functional,non functional,functional,non functional,non functional,functional,functional,non functional
62652,functional,functional,non functional,functional,functional,non functional,non functional,non functional,functional
10643,functional,functional,functional,functional,functional,functional,functional,functional,functional
51461,functional,functional,functional,non functional,functional,functional,functional,functional,functional
25245,functional,non functional,non functional,functional,functional,functional,non functional,functional,functional
39179,functional,functional,functional,functional,functional,non functional,functional,functional,non functional
12703,functional,functional,functional,non functional,functional,functional,functional,functional,functional
69265,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,functional
30517,functional,functional,functional,functional,functional,functional,functional,functional,functional
27715,functional,functional,functional,non functional,functional,functional,functional,functional,functional
1504,functional,functional,functional,functional,functional,functional,functional,functional,functional
41032,non functional,non functional,non functional,functional,functional,non functional,non functional,functional,non functional
39742,functional,non functional,functional,functional,non functional,non functional,non functional,functional,non functional
57079,functional,functional,functional,functional,functional,functional,functional,functional,non functional
41477,non functional,non functional,functional,functional,functional needs repair,functional needs repair,non functional,functional needs repair,functional needs repair
37456,functional needs repair,functional needs repair,functional needs repair,non functional,functional,functional,non functional,non functional,functional needs repair
48056,functional,functional,functional,functional,functional,functional,functional,functional,functional
63113,functional,functional,functional,functional,functional,functional,functional,functional,functional
72360,functional,functional,functional,functional,functional,functional,functional,functional,functional
7551,functional,non functional,functional,functional,non functional,non functional,non functional,functional,functional
19322,functional,functional,functional,functional,functional,functional,functional,functional,functional
499,functional,functional,functional,functional,functional,functional,functional,functional,functional
33431,non functional,functional,functional,functional,functional,non functional,functional,functional,non functional
6906,functional,functional,functional,functional,functional,functional,functional,functional,functional
68701,functional,functional,functional,non functional,functional,functional,functional,functional,functional
4871,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
39458,functional,functional,functional,functional,functional,functional,functional,functional,functional
57011,functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
64178,functional,non functional,non functional,non functional,functional,functional,functional,functional,non functional
15246,non functional,non functional,non functional,functional,functional,non functional,functional,functional,non functional
50480,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair
68413,functional,functional,functional,functional,functional,functional,functional,functional,functional
8121,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
31057,functional,functional,non functional,functional,non functional,non functional,non functional,functional needs repair,non functional
42490,functional,functional,functional,functional,functional,functional,functional,functional,functional
30664,functional,functional,functional,non functional,functional,functional,functional,functional,functional
14394,non functional,non functional,non functional,non functional,functional,non functional,functional,functional,functional
4509,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
26561,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
9565,non functional,non functional,non functional,non functional,functional,non functional,non functional,functional needs repair,functional
66460,non functional,functional needs repair,functional needs repair,non functional,non functional,non functional,functional,functional needs repair,non functional
29764,non functional,non functional,non functional,non functional,functional,non functional,non functional,functional needs repair,non functional
6138,functional,functional,functional,functional,functional,functional,functional,functional,non functional
54470,non functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
10548,non functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
1256,functional,functional,functional,functional,functional,functional,functional,functional,functional
5867,non functional,non functional,non functional,functional,non functional,non functional,functional,non functional,non functional
13930,functional,functional,functional,functional,functional,functional,functional,functional,functional
46273,non functional,non functional,non functional,functional,functional,non functional,non functional,functional,non functional
69947,functional,functional,functional,functional,functional,functional,functional,functional,functional
31805,functional,functional,functional,functional,functional,functional,functional,functional,non functional
522,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
36310,functional,functional,non functional,non functional,functional,functional,functional,non functional,functional
47096,non functional,non functional,non functional,non functional,functional needs repair,non functional,functional,functional,functional needs repair
11048,functional,functional,functional,functional,functional,functional,functional,functional,functional
9469,functional,functional,functional needs repair,functional,functional,functional,functional,functional,non functional
35945,functional,functional needs repair,functional needs repair,functional,functional,functional,functional,functional,functional needs repair
61346,non functional,functional,functional,functional,functional,functional,functional,functional,functional
31897,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional
52291,functional,functional,functional needs repair,functional,functional,functional,functional,functional,functional needs repair
72256,non functional,functional,non functional,functional,non functional,non functional,non functional,functional,non functional
1291,functional,functional,functional,functional,non functional,functional,non functional,functional,functional
55682,non functional,non functional,non functional,functional,non functional,non functional,functional,non functional,non functional
20974,functional,functional,functional,functional,functional,functional,non functional,functional needs repair,functional
10315,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional
20699,functional,non functional,non functional,functional,functional needs repair,non functional,functional,non functional,non functional
12157,functional,functional,functional,functional,functional,functional,functional,functional,functional
25750,functional,functional,functional,functional,functional,functional,functional,functional,functional
56563,functional,functional,functional,functional,functional,functional,functional,functional,functional
59935,non functional,functional,non functional,functional,non functional,non functional,functional,functional,functional needs repair
11608,functional,functional,functional,functional,functional,functional,functional,functional,functional
37509,functional needs repair,functional needs repair,functional needs repair,non functional,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
70547,functional,functional,non functional,non functional,functional,functional,functional,functional,functional
66064,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
64905,functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
16523,functional,non functional,non functional,functional,functional,functional,functional,functional,non functional
30701,functional,functional,non functional,non functional,functional,non functional,functional,functional,functional
64533,non functional,functional,functional,functional,functional,functional,functional,functional,functional
57607,functional,functional,functional,non functional,functional,functional,functional,functional,functional needs repair
21781,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
41554,functional,functional,non functional,non functional,functional,functional,functional,functional,functional
56419,functional,functional needs repair,functional needs repair,functional,non functional,functional,functional,functional,functional
16991,functional,functional,functional,functional,functional,functional,functional,functional,functional
68549,functional,functional,functional,functional,non functional,functional,functional,functional,non functional
58628,functional,functional,functional,functional,functional,functional,functional,functional,functional
69701,functional,functional,functional,functional,functional,non functional,non functional,functional,functional needs repair
31191,functional,functional,functional,functional,non functional,functional,functional,functional,functional
69347,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
59209,functional,functional,functional,non functional,functional needs repair,functional,functional,functional,functional
67918,functional,functional,functional,functional,functional,functional,functional,functional,non functional
8061,non functional,functional,functional,functional,functional,non functional,functional,functional,functional
9841,non functional,functional,non functional,functional,non functional,non functional,non functional,functional,non functional
63310,functional,functional,functional,functional,functional,functional,functional,functional,functional
65350,functional,functional,functional,functional,functional,functional,functional,functional,functional
7606,functional,functional,functional needs repair,non functional,functional,functional,functional,non functional,functional
44982,functional,functional,functional,functional,functional,functional,functional,non functional,functional
18683,functional,functional,functional,non functional,functional,functional,functional,functional,functional
22239,functional,functional,functional,functional,functional,functional,functional,functional,functional
13696,functional,functional,functional,functional,functional,functional,functional,functional,non functional
63396,functional,functional,functional,functional,functional,functional,functional,functional,functional
62899,functional,functional,functional,functional,functional,functional,functional,functional,functional
5394,non functional,non functional,non functional,functional,functional,non functional,functional,non functional,non functional
10986,functional,functional,functional,functional,functional,functional,functional,functional,functional
59594,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
39182,non functional,functional,functional,functional,functional,functional,functional,functional,functional
59577,functional,functional,functional,functional,functional,functional,functional,functional,functional
67854,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
30071,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
71403,functional,functional,functional,non functional,functional,functional,functional,functional,functional
17965,functional,functional,functional,functional,functional,functional,non functional,functional,functional
65452,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
64723,functional,functional needs repair,functional,functional,non functional,functional,functional,functional,functional needs repair
31752,functional,functional,functional,functional,functional,functional,functional,functional,functional
8795,functional,functional,functional,functional,non functional,functional,functional,functional,functional
66556,non functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
22598,functional,functional,functional,functional,functional,functional,non functional,functional,functional
18378,functional,functional,non functional,functional,non functional,functional,functional,functional,non functional
11939,functional needs repair,functional,functional,functional,non functional,non functional,functional,functional,non functional
34346,functional,functional,functional,functional,functional,functional,functional,functional,functional
66548,functional,non functional,non functional,non functional,functional,non functional,functional,functional,non functional
61197,functional,functional,functional,functional,functional,functional,functional,functional,functional
8672,functional,functional,functional,functional,functional,functional,functional,functional,functional
29283,functional,functional,functional,functional,functional,functional,functional,functional,functional
47333,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional needs repair,functional,functional,functional needs repair
3225,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
51152,functional,functional,functional,functional,functional,functional,functional,functional,non functional
61277,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair
45438,functional,functional,functional,functional,functional,functional,functional,functional,functional
2166,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
35456,functional,functional,functional,functional,functional,functional,functional,functional,functional
56027,functional,functional,functional,non functional,functional,functional,functional,functional,functional
19698,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional
51033,functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
58323,functional,non functional,non functional,functional,functional,functional,functional,non functional,functional
34236,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,functional
37071,functional,functional,functional,functional,functional,functional,functional,functional,functional
58591,functional,functional,functional,functional,functional,functional,functional,functional,functional
47868,functional,functional,functional,functional,functional,functional,functional,functional,functional
8112,functional needs repair,functional needs repair,non functional,functional,functional needs repair,functional needs repair,functional needs repair,functional,non functional
44275,functional,functional,functional,non functional,functional,functional,non functional,non functional,functional
39331,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
50046,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional
44980,functional,functional,functional,functional,functional,functional,functional,functional,non functional
38007,functional,functional,non functional,non functional,functional,functional,functional,functional,functional
23789,functional,functional,functional,non functional,functional,functional,functional,functional,functional
68862,functional,functional,functional,functional,functional,functional,functional,functional,functional
22079,functional,functional,non functional,non functional,functional,functional,functional,non functional,functional
54985,functional,functional,non functional,functional,functional,functional,functional,functional,functional
49959,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional,non functional
18380,functional,functional,functional,functional,functional,functional,functional,functional,functional
60583,functional,functional,functional,non functional,functional needs repair,functional,functional,non functional,functional
33497,non functional,non functional,non functional,non functional,non functional,non functional,functional,functional,non functional
43490,functional,functional,functional,non functional,functional,functional,functional,functional needs repair,functional
8807,functional,functional,non functional,functional,functional,functional,functional,functional,functional
5747,non functional,functional,functional,functional,functional,non functional,non functional,functional,non functional
52709,non functional,functional,non functional,functional,functional,functional,functional,functional,functional
43612,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,functional
17914,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
13399,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional
67798,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
22412,functional,functional,functional,functional,functional,functional,functional,functional,functional
14586,functional,functional needs repair,functional needs repair,non functional,functional needs repair,functional,non functional,non functional,functional
35573,non functional,functional needs repair,functional,functional,functional needs repair,functional,non functional,functional,non functional
57894,functional,functional,functional,functional,functional,non functional,non functional,functional,non functional
46208,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
39006,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
38238,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
34634,functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional
57416,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
55916,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
12828,functional,non functional,non functional,non functional,functional,non functional,non functional,functional,functional
57643,functional,functional,functional,functional,functional,functional,functional needs repair,functional needs repair,functional
44684,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional
33002,functional,functional,functional,functional,functional,functional,functional,functional,functional
52177,functional,functional,functional,functional,non functional,functional,functional,functional,non functional
14719,functional,non functional,non functional,non functional,non functional,functional,functional,functional,functional
21400,functional,functional,functional,non functional,functional,functional,functional,functional needs repair,non functional
4201,non functional,non functional,non functional,non functional,non functional,non functional,functional,functional needs repair,non functional
19517,functional,functional,non functional,functional,non functional,non functional,functional,functional,functional
20607,functional,functional,functional,functional,functional,functional,functional,non functional,functional
3932,functional,functional,non functional,functional,functional,functional,functional,functional,functional
3481,functional,functional,functional,functional,functional,functional,functional,non functional,functional
21181,functional,functional,functional,functional,functional,functional,functional,functional,functional
14888,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
37744,non functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
59540,functional,functional,functional,functional,functional,functional,functional,functional,functional
35488,functional,functional,functional needs repair,functional,functional,functional needs repair,functional,non functional,functional needs repair
43842,functional,non functional,functional,functional,functional,functional,non functional,functional needs repair,functional
13433,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
63071,non functional,non functional,non functional,functional,functional,non functional,non functional,functional,non functional
72521,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
40848,non functional,non functional,non functional,functional,functional,non functional,non functional,functional,non functional
49705,non functional,functional,non functional,functional,non functional,non functional,non functional,functional needs repair,non functional
51192,non functional,non functional,non functional,functional,functional,functional,functional,functional,non functional
5217,functional,functional,functional needs repair,functional,functional,functional,functional,functional,non functional
49051,functional,functional,functional,functional,functional,functional,functional,functional,functional
57482,functional,functional,functional,functional,functional,functional,functional,non functional,functional
47095,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
59635,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
15497,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
24011,functional,functional,non functional,functional,non functional,non functional,non functional,functional,non functional
5577,functional,functional,functional,functional,functional,functional,functional,functional,functional
39850,functional,functional,functional,functional,functional,functional,functional,functional,functional
64109,functional,functional,functional,functional,functional,functional,functional,functional,functional
64474,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
12837,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
46738,functional,functional,functional,non functional,functional,functional,functional,functional,functional
30574,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
34210,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
35436,functional,functional,functional,functional,functional,functional,functional,functional,non functional
26739,non functional,functional,functional,functional,functional,functional,functional,functional,non functional
7241,non functional,functional,non functional,functional,non functional,non functional,non functional,functional,non functional
3353,functional,functional,functional,functional,non functional,functional,non functional,functional,functional
60625,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
21867,non functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
28436,functional,functional,functional,non functional,non functional,functional,functional needs repair,functional needs repair,functional
36486,functional,non functional,non functional,functional,functional,functional,functional,functional,functional
13432,functional,functional,non functional,functional,functional,functional,functional,functional,functional
46602,functional,functional,functional,non functional,functional,functional,functional,non functional,non functional
34097,functional,functional,functional,functional,functional,functional,functional,non functional,functional
16828,functional,non functional,functional,functional,functional,functional,functional,functional,functional
36742,functional,functional,functional,functional,functional,functional,functional,non functional,functional
71633,functional,functional,functional,functional,functional,functional,functional,functional,functional
71052,functional,functional,functional,functional,functional,non functional,non functional,functional,functional
27476,functional,functional,functional,functional,non functional,functional,functional,functional,functional
14966,functional,functional,functional,non functional,functional,functional,functional,functional,functional
8531,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair
16018,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional
70095,functional,functional,functional,functional,functional,functional,functional,functional,functional
31557,non functional,functional needs repair,functional,non functional,functional,functional needs repair,functional,functional,functional needs repair
43472,functional,non functional,functional,non functional,functional,functional,non functional,non functional,functional
50305,functional,functional,functional needs repair,functional,functional,functional,functional,functional,functional needs repair
25706,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
22292,non functional,functional,functional,functional,functional,functional,functional,functional,functional
71416,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional
3190,functional,functional,functional needs repair,functional,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
52905,functional,functional needs repair,functional needs repair,functional,functional,functional,functional,functional,functional
27084,functional,functional,functional,functional,functional,functional,functional,functional,functional
18937,functional,functional,functional,functional,functional,functional,functional,non functional,functional
52417,functional,functional,functional,functional,functional,functional,functional,functional,functional
10267,functional,functional,functional,functional,functional,functional,functional,functional,functional
68003,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
1329,functional,functional,functional,functional,functional,functional,non functional,functional,functional
4936,functional,functional,functional,functional,functional,non functional,non functional,functional,non functional
20002,functional,functional,non functional,functional,functional,functional,functional,functional,non functional
43332,functional,functional,functional,functional,functional,functional,functional,functional,functional
62311,non functional,functional,functional,non functional,functional,functional,non functional,functional,non functional
16242,functional,functional,functional,functional,functional,functional,functional,functional,functional
5406,functional,functional,non functional,non functional,functional,functional,functional,functional,functional
33750,functional,functional,non functional,functional,non functional,non functional,non functional,functional,non functional
55547,functional,functional,functional,functional,functional,functional,functional,non functional,functional
21572,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
31085,non functional,non functional,functional,functional,functional,functional,non functional,functional,functional
376,functional,functional,functional,functional,non functional,non functional,non functional,functional,non functional
72694,non functional,non functional,functional,non functional,functional,non functional,functional,non functional,functional
52794,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
